Date,Product,Batch,Operator,Start Time,End Time,Duration (min),Flavor,Size,Min batch time,Downtime (min),Operator Error Downtime (min),Efficiency
2024-08-29,OR-600,422111,Mac,11:50:00,14:05:00,135.0,Orange,600 ml,60,75.0,60.0,0.4444444444444444
2024-08-29,LE-600,422112,Mac,14:05:00,15:45:00,100.0,Lemon lime,600 ml,60,40.0,40.0,0.6
2024-08-29,LE-600,422113,Mac,15:45:00,17:35:00,110.0,Lemon lime,600 ml,60,50.0,50.0,0.5454545454545454
2024-08-29,LE-600,422114,Mac,17:35:00,19:15:00,100.0,Lemon lime,600 ml,60,40.0,15.0,0.6
2024-08-29,LE-600,422115,Charlie,19:15:00,20:39:00,84.0,Lemon lime,600 ml,60,24.0,24.0,0.7142857142857143
2024-08-29,LE-600,422116,Charlie,20:39:00,21:39:00,60.0,Lemon lime,600 ml,60,0.0,0.0,1.0
2024-08-29,LE-600,422117,Charlie,21:39:00,22:54:00,75.0,Lemon lime,600 ml,60,15.0,15.0,0.8
2024-08-30,CO-600,422118,Dee,04:05:00,06:05:00,120.0,Cola,600 ml,60,60.0,24.0,0.5
2024-08-30,CO-600,422119,Dee,06:05:00,07:30:00,85.0,Cola,600 ml,60,25.0,0.0,0.7058823529411765
2024-08-30,CO-600,422120,Dee,07:30:00,09:22:00,112.0,Cola,600 ml,60,52.0,15.0,0.5357142857142857
2024-08-30,CO-600,422121,Dennis,09:22:00,10:37:00,75.0,Cola,600 ml,60,15.0,0.0,0.8
2024-08-30,CO-600,422122,Dennis,10:37:00,12:02:00,85.0,Cola,600 ml,60,25.0,0.0,0.7058823529411765
2024-08-30,CO-600,422123,Dennis,12:02:00,14:15:00,133.0,Cola,600 ml,60,73.0,0.0,0.45112781954887216
2024-08-30,CO-600,422124,Dennis,14:15:00,15:55:00,100.0,Cola,600 ml,60,40.0,40.0,0.6
2024-08-30,CO-600,422125,Charlie,15:55:00,17:15:00,80.0,Cola,600 ml,60,20.0,10.0,0.75
2024-08-30,CO-600,422126,Charlie,17:15:00,18:59:00,104.0,Cola,600 ml,60,44.0,44.0,0.5769230769230769
2024-08-30,CO-600,422127,Charlie,18:59:00,20:22:00,83.0,Cola,600 ml,60,23.0,23.0,0.7228915662650602
2024-08-30,CO-600,422128,Charlie,20:22:00,22:14:00,112.0,Cola,600 ml,60,52.0,22.0,0.5357142857142857
2024-08-30,CO-600,422129,Charlie,22:14:00,23:29:00,75.0,Cola,600 ml,60,15.0,0.0,0.8
2024-08-31,CO-600,422130,Dee,07:45:00,09:05:00,80.0,Cola,600 ml,60,20.0,20.0,0.75
2024-08-31,CO-600,422131,Dee,09:05:00,10:35:00,90.0,Cola,600 ml,60,30.0,10.0,0.6666666666666666
2024-08-31,CO-600,422132,Dee,10:35:00,11:35:00,60.0,Cola,600 ml,60,0.0,0.0,1.0
2024-08-31,DC-600,422133,Dee,11:35:00,12:55:00,80.0,Diet Cola,600 ml,60,20.0,0.0,0.75
2024-08-31,DC-600,422134,Mac,12:55:00,14:45:00,110.0,Diet Cola,600 ml,60,50.0,20.0,0.5454545454545454
2024-08-31,DC-600,422135,Mac,14:45:00,16:30:00,105.0,Diet Cola,600 ml,60,45.0,0.0,0.5714285714285714
2024-08-31,DC-600,422136,Mac,16:30:00,17:30:00,60.0,Diet Cola,600 ml,60,0.0,0.0,1.0
2024-09-02,RB-600,422137,Dee,01:00:00,02:45:00,105.0,Root Beer,600 ml,60,45.0,45.0,0.5714285714285714
2024-09-02,RB-600,422138,Dee,02:45:00,04:05:00,80.0,Root Beer,600 ml,60,20.0,0.0,0.75
2024-09-02,RB-600,422139,Dee,04:05:00,05:40:00,95.0,Root Beer,600 ml,60,35.0,15.0,0.631578947368421
2024-09-02,RB-600,422140,Dee,05:40:00,07:43:00,123.0,Root Beer,600 ml,60,63.0,63.0,0.4878048780487805
2024-09-02,RB-600,422141,Dennis,07:43:00,08:50:00,67.0,Root Beer,600 ml,60,7.0,0.0,0.8955223880597015
2024-09-02,RB-600,422142,Dennis,08:50:00,10:20:00,90.0,Root Beer,600 ml,60,30.0,30.0,0.6666666666666666
2024-09-02,RB-600,422143,Dennis,10:20:00,12:18:00,118.0,Root Beer,600 ml,60,58.0,40.0,0.5084745762711864
2024-09-02,CO-2L,422144,Dennis,12:18:00,14:50:00,152.0,Cola,2 L,98,54.0,54.0,0.6447368421052632
2024-09-02,CO-2L,422145,Charlie,14:50:00,16:50:00,120.0,Cola,2 L,98,22.0,0.0,0.8166666666666667
2024-09-02,CO-2L,422146,Charlie,16:50:00,19:30:00,160.0,Cola,2 L,98,62.0,30.0,0.6125
2024-09-02,CO-2L,422147,Charlie,19:30:00,22:55:00,205.0,Cola,2 L,98,107.0,60.0,0.47804878048780486
2024-09-03,CO-2L,422148,Mac,22:55:00,1900-01-01 01:05:00,130.0,Cola,2 L,98,32.0,7.0,0.7538461538461538
